Day,Mesure,Method
847,1,Original.elo
847,0,Original.elo
847,1,Original.elo
847,1,Original.elo
847,0,Original.elo
847,1,Original.elo
847,1,Original.elo
847,1,Original.elo
847,0,Original.elo
847,1,Original.elo
847,0,Original.elo
847,0,Original.elo
847,0,Original.elo
847,1,Original.elo
847,1,Original.elo
847,1,Original.elo
847,1,Original.elo
847,1,Original.elo
847,1,Original.elo
847,1,Original.elo
847,1,Original.elo
847,1,Original.elo
847,0,Original.elo
847,0,Original.elo
848,0,Original.elo
848,1,Original.elo
848,0,Original.elo
848,1,Original.elo
848,1,Original.elo
848,1,Original.elo
848,1,Original.elo
848,1,Original.elo
848,1,Original.elo
848,1,Original.elo
848,1,Original.elo
848,1,Original.elo
848,1,Original.elo
848,0,Original.elo
848,1,Original.elo
848,0,Original.elo
848,1,Original.elo
848,1,Original.elo
848,1,Original.elo
848,1,Original.elo
848,1,Original.elo
848,1,Original.elo
848,1,Original.elo
848,1,Original.elo
848,1,Original.elo
848,1,Original.elo
848,1,Original.elo
848,0,Original.elo
848,1,Original.elo
848,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,0,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,1,Original.elo
849,0,Original.elo
849,0,Original.elo
852,0,Original.elo
852,1,Original.elo
852,0,Original.elo
852,1,Original.elo
852,1,Original.elo
852,1,Original.elo
852,0,Original.elo
852,1,Original.elo
852,1,Original.elo
852,1,Original.elo
852,1,Original.elo
852,1,Original.elo
852,1,Original.elo
852,1,Original.elo
852,0,Original.elo
852,0,Original.elo
853,0,Original.elo
853,1,Original.elo
853,0,Original.elo
853,1,Original.elo
853,1,Original.elo
853,1,Original.elo
853,1,Original.elo
853,0,Original.elo
853,1,Original.elo
853,1,Original.elo
853,1,Original.elo
853,1,Original.elo
853,1,Original.elo
853,1,Original.elo
853,1,Original.elo
853,0,Original.elo
853,0,Original.elo
853,1,Original.elo
853,1,Original.elo
853,1,Original.elo
853,1,Original.elo
853,1,Original.elo
853,1,Original.elo
853,1,Original.elo
853,1,Original.elo
853,0,Original.elo
853,1,Original.elo
853,1,Original.elo
854,1,Original.elo
854,1,Original.elo
854,1,Original.elo
854,0,Original.elo
854,0,Original.elo
854,0,Original.elo
854,1,Original.elo
854,1,Original.elo
854,1,Original.elo
854,1,Original.elo
854,1,Original.elo
854,0,Original.elo
854,1,Original.elo
855,1,Original.elo
855,0,Original.elo
855,0,Original.elo
855,1,Original.elo
855,1,Original.elo
855,0,Original.elo
855,0,Original.elo
855,1,Original.elo
855,1,Original.elo
855,1,Original.elo
855,1,Original.elo
855,1,Original.elo
855,1,Original.elo
855,1,Original.elo
855,1,Original.elo
855,1,Original.elo
855,1,Original.elo
855,1,Original.elo
855,1,Original.elo
855,1,Original.elo
855,1,Original.elo
855,1,Original.elo
855,1,Original.elo
855,1,Original.elo
855,1,Original.elo
855,1,Original.elo
855,1,Original.elo
855,1,Original.elo
855,1,Original.elo
856,0,Original.elo
856,1,Original.elo
856,0,Original.elo
856,1,Original.elo
856,0,Original.elo
856,1,Original.elo
856,1,Original.elo
856,1,Original.elo
856,0,Original.elo
856,1,Original.elo
856,1,Original.elo
856,1,Original.elo
856,1,Original.elo
856,0,Original.elo
856,0,Original.elo
856,1,Original.elo
856,1,Original.elo
856,1,Original.elo
856,1,Original.elo
856,1,Original.elo
856,1,Original.elo
856,1,Original.elo
856,1,Original.elo
856,1,Original.elo
856,1,Original.elo
856,1,Original.elo
856,1,Original.elo
856,1,Original.elo
856,1,Original.elo
