Month,Method,Mesure
28,Steepness.P,78.68690201
26,Steepness.P,78.38997031
24,Steepness.P,79.01682613
22,Steepness.P,79.94061366
20,Steepness.P,80.23754536
18,Steepness.P,80.36951501
16,Steepness.P,80.83140878
14,Steepness.P,80.43549984
12,Steepness.P,81.12834048
10,Steepness.P,80.79841636
8,Steepness.P,80.79841636
6,Steepness.P,81.4582646
4,Steepness.P,81.12834048
2,Steepness.P,79.90762125
28,Steepness.D,77.49917519
26,Steepness.D,77.63114484
24,Steepness.D,77.76311448
22,Steepness.D,78.71989442
20,Steepness.D,79.41273507
18,Steepness.D,79.67667436
16,Steepness.D,80.27053778
14,Steepness.D,79.80864401
12,Steepness.D,80.17156054
10,Steepness.D,79.80864401
8,Steepness.D,79.2147806
6,Steepness.D,81.06235566
4,Steepness.D,80.73243154
2,Steepness.D,78.81887166
28,PC4,80.27053778
26,PC4,79.90762125
24,PC4,81.95315078
22,PC4,80.50148466
20,PC4,81.88716595
18,PC4,81.42527219
16,PC4,82.21709007
14,PC4,80.99637083
12,PC4,81.78818872
10,PC4,82.77796107
8,PC4,82.61299901
6,PC4,84.29561201
4,PC4,84.79049819
2,PC4,83.33883207
28,PC2,81.26031013
26,PC2,80.60046189
24,PC2,80.73243154
22,PC2,80.8973936
20,PC2,80.60046189
18,PC2,82.5800066
16,PC2,81.78818872
14,PC2,81.35928736
12,PC2,82.21709007
10,PC2,82.74496866
8,PC2,82.48102936
6,PC2,83.80072583
4,PC2,84.22962719
2,PC2,83.1408776
28,Elo.P,78.68690201
26,Elo.P,78.38997031
24,Elo.P,79.01682613
22,Elo.P,79.94061366
20,Elo.P,80.23754536
18,Elo.P,80.36951501
16,Elo.P,80.83140878
14,Elo.P,80.43549984
12,Elo.P,81.12834048
10,Elo.P,80.79841636
8,Elo.P,80.17156054
6,Elo.P,81.4582646
4,Elo.P,81.12834048
2,Elo.P,79.90762125
28,Elo.original,81.82118113
26,Elo.original,81.82118113
24,Elo.original,81.82118113
22,Elo.original,81.82118113
20,Elo.original,81.82118113
18,Elo.original,81.82118113
16,Elo.original,81.95315078
14,Elo.original,81.95315078
12,Elo.original,82.08512042
10,Elo.original,82.05212801
8,Elo.original,82.08512042
6,Elo.original,82.05212801
4,Elo.original,81.59023425
2,Elo.original,80.03959089
28,Elo.D,77.49917519
26,Elo.D,77.63114484
24,Elo.D,77.76311448
22,Elo.D,78.71989442
20,Elo.D,79.41273507
18,Elo.D,79.67667436
16,Elo.D,80.27053778
14,Elo.D,79.80864401
12,Elo.D,80.17156054
10,Elo.D,79.80864401
8,Elo.D,79.2147806
6,Elo.D,81.06235566
4,Elo.D,80.73243154
2,Elo.D,78.81887166
28,Compete.P,79.90762125
26,Compete.P,80.93038601
24,Compete.P,80.30353019
22,Compete.P,81.29330254
20,Compete.P,81.26031013
18,Compete.P,80.93038601
16,Compete.P,81.26031013
14,Compete.P,81.72220389
12,Compete.P,81.32629495
10,Compete.P,81.65621907
8,Compete.P,81.52424942
6,Compete.P,82.51402177
4,Compete.P,81.88716595
2,Compete.P,80.86440119
28,Compete.D,79.57769713
26,Compete.D,79.84163642
24,Compete.D,79.87462884
22,Compete.D,79.84163642
20,Compete.D,80.40250742
18,Compete.D,80.60046189
16,Compete.D,80.40250742
14,Compete.D,80.46849225
12,Compete.D,81.35928736
10,Compete.D,81.85417354
8,Compete.D,81.92015836
6,Compete.D,82.74496866
4,Compete.D,81.7551963
2,Compete.D,79.64368195
28,BI,82.77796107
26,BI,83.1408776
24,BI,83.60277136
22,BI,83.76773342
20,BI,83.33883207
18,BI,83.50379413
16,BI,83.76773342
14,BI,83.60277136
12,BI,83.60277136
10,BI,83.63576377
8,BI,83.27284725
6,BI,83.33883207
4,BI,83.47080172
2,BI,82.48102936
28,k.fixed,79.90762125
26,k.fixed,79.90762125
24,k.fixed,79.90762125
22,k.fixed,79.90762125
20,k.fixed,79.90762125
18,k.fixed,79.90762125
16,k.fixed,79.90762125
14,k.fixed,79.90762125
12,k.fixed,81.16133289
10,k.fixed,81.16133289
8,k.fixed,80.93038601
6,k.fixed,80.83140878
4,k.fixed,80.83140878
2,k.fixed,80.43549984
28,rando.sanchez,80.55372446
26,rando.sanchez,80.75148319
24,rando.sanchez,80.4218853
22,rando.sanchez,80.85036256
20,rando.sanchez,80.81740277
18,rando.sanchez,82.20171391
16,rando.sanchez,82.2346737
14,rando.sanchez,82.69611074
12,rando.sanchez,82.69611074
10,rando.sanchez,83.55306526
8,rando.sanchez,84.17930125
6,rando.sanchez,83.75082399
4,rando.sanchez,83.88266315
2,rando.sanchez,82.46539222
28,ISI,81.7551963
26,ISI,80.63345431
24,ISI,82.44803695
22,ISI,82.94292313
20,ISI,81.29330254
18,ISI,81.35928736
16,ISI,81.22731772
14,ISI,84.32860442
12,ISI,83.73474101
10,ISI,83.53678654
8,ISI,85.31837677
6,ISI,85.54932366
4,ISI,84.69152095
2,ISI,83.37182448
